id,name,city,country,icao,tz,latitude,longitude
8497,Illinois Valley Regional Airport-Walter A Duncan Field,Peru,USA,KVYS,America/Chicago,41.351898,-89.153099
8499,Jackson County Reynolds Field,Jackson,USA,KJXN,America/New_York,42.25979996,-84.45939636
8502,Joseph A. Hardy Connellsville Airport,Connellsville,USA,KVVS,America/New_York,39.95920181,-79.65709686
8503,Bedford County Airport,Bedford,USA,KHMZ,America/New_York,40.08530045,-78.5121994
8504,Wings Field,Philadelphia,USA,KLOM,America/New_York,40.13750076,-75.26509857
8505,Okeechobee County Airport,Okeechobee,USA,KOBE,America/New_York,27.26280022,-80.84980011
8506,Sebring Regional Airport,Sebring,USA,KSEF,America/New_York,27.45639992,-81.3423996
8507,Avon Park Executive Airport,Avon Park,USA,KAVO,America/New_York,27.59119987,-81.52780151
8508,Winter Haven Municipal Airport - Gilbert Field,Winter Haven,USA,KGIF,America/New_York,28.06290054,-81.75330353
8509,Zephyrhills Municipal Airport,Zephyrhills,USA,KZPH,America/New_York,28.22820091,-82.15589905
8510,Ocala International Airport - Jim Taylor Field,Ocala,USA,KOCF,America/New_York,29.17259979,-82.22419739
8511,Jesup Wayne County Airport,Jesup,USA,KJES,America/New_York,31.55400085,-81.88249969
8512,Madison Municipal Airport,Madison,USA,K52A,America/New_York,33.61209869,-83.46040344
8513,Newnan Coweta County Airport,Newnan,USA,KCCO,America/New_York,33.31159973,-84.76979828
8514,Thomson-McDuffie County Airport,Thomson,USA,KHQU,America/New_York,33.52970123,-82.51650238
8515,Aiken Municipal Airport,Aiken,USA,KAIK,America/New_York,33.6493988,-81.68499756
8516,Woodward Field,Camden,USA,KCDN,America/New_York,34.28359985,-80.56490326
8517,Lumberton Regional Airport,Lumberton,USA,KLBT,America/New_York,34.60990143,-79.05940247
8519,Moore County Airport,Pinehurst-Southern Pines,USA,KSOP,America/New_York,35.23740005,-79.3911972
8520,Richmond County Airport,Rockingham,USA,KRCZ,America/New_York,34.8913,-79.759598
8524,Baraboo Wisconsin Dells Airport,Baraboo,USA,KDLL,America/Chicago,43.52270126,-89.77020264
8526,Statesville Regional Airport,Statesville,USA,KSVH,America/New_York,35.76530075,-80.9539032
8528,Burlington Municipal Airport,Burlington,USA,KBUU,America/Chicago,42.69070053,-88.30460358
